step,loss
0,3.062501
1,3.676950
2,3.589588
3,3.408326
4,3.224620
5,3.125686
6,2.985324
7,3.077593
8,3.147740
9,3.315299
10,2.983758
11,2.963887
12,3.258030
13,3.013345
14,3.032797
15,3.179500
16,3.218397
17,2.961270
18,3.063276
19,3.069514
20,3.129987
21,2.900975
22,3.204043
23,2.972402
24,3.210253
25,3.219381
26,2.987445
27,3.064615
28,3.065841
29,3.348764
30,3.255122
31,3.072803
32,3.019193
33,3.213338
34,3.108470
35,2.973224
36,3.184135
37,3.221988
38,3.277919
39,3.131469
40,3.354300
41,3.219400
42,3.314217
43,3.210380
44,3.824965
45,4.038635
46,4.611524
47,4.559779
48,5.020799
49,4.018686
50,4.039330
51,3.669433
52,3.683877
53,3.759966
54,3.295964
55,3.367790
56,3.536662
57,3.356901
58,3.333050
59,3.172174
60,3.151643
61,3.126432
62,2.936919
63,3.036131
64,3.278480
65,3.237822
66,3.298823
67,3.199787
68,3.220267
69,3.301677
70,3.156077
71,3.056355
72,3.188381
73,3.495439
74,3.324871
75,3.272308
76,3.404189
77,3.863959
78,3.421106
79,3.714641
80,3.288852
81,3.548933
82,3.696597
83,3.349264
84,3.537354
85,3.446979
86,3.558931
87,3.505497
88,3.363332
89,3.046848
90,3.169240
91,3.478823
92,3.485696
93,3.178023
94,3.396897
95,3.302942
96,3.209697
97,3.364555
98,3.115880
99,3.403031
100,3.530474
101,3.352798
102,3.189778
103,3.198699
104,3.167439
105,3.362487
106,3.523479
107,3.168166
108,3.260090
109,3.246989
110,3.265361
111,3.413870
112,3.292862
113,3.645385
114,3.288071
115,3.095199
116,3.225981
117,3.403762
118,3.395505
119,3.335068
120,3.187582
121,3.022274
122,3.398575
123,3.085391
124,3.374296
125,3.256323
126,3.557553
127,3.266445
128,3.338045
129,3.266307
130,3.100117
131,3.296443
132,3.096258
133,3.016191
134,3.102598
135,2.958826
136,3.236985
137,2.911690
138,3.290823
139,3.541932
140,3.511572
141,3.380827
142,3.700890
143,3.540585
144,3.502731
145,3.354242
146,3.429735
147,3.503346
148,3.477441
149,3.155101
150,3.415519
151,3.623584
152,3.380156
153,3.623691
154,3.074670
155,3.151950
156,3.293546
157,3.144096
158,3.027968
159,3.184501
160,3.156898
161,3.205675
162,3.268151
163,3.106262
164,3.257110
