step,loss
0,3.008367
1,3.043160
2,3.097152
3,3.084358
4,3.005040
5,3.061654
6,3.084964
7,2.962299
8,3.169184
9,3.078566
10,2.868088
11,2.982730
12,3.271706
13,3.009177
14,2.924139
15,3.278168
16,3.202447
17,2.939112
18,3.188800
19,2.797921
20,3.083864
21,3.121258
22,3.254720
23,3.120920
24,3.108326
25,3.231149
26,3.054214
27,3.261358
28,2.670163
29,3.021889
30,2.987164
31,3.126503
32,3.076741
33,3.302251
34,3.228595
35,3.075333
36,2.946121
37,2.999666
38,3.047902
39,3.033997
40,3.163261
41,3.007119
42,3.128958
43,3.079982
44,2.739297
45,3.267195
46,2.969068
47,3.181048
48,2.913231
49,3.169941
50,2.931459
51,3.112994
52,2.847629
53,2.930704
54,2.914788
55,2.963669
56,3.014501
57,3.126624
58,3.114660
59,3.083448
60,3.013338
61,2.931984
62,2.932688
63,3.146813
64,2.963022
65,2.931930
66,2.978487
67,2.799150
68,2.873124
69,3.099175
70,3.320200
71,2.896680
72,3.030894
73,2.852659
74,2.823564
75,3.105444
76,2.863195
77,3.000551
78,2.973665
79,3.005461
80,2.926228
81,2.944529
82,2.961936
83,3.047459
84,2.870687
85,2.880812
86,3.100128
87,2.776999
88,3.032942
89,3.177195
90,3.074338
91,2.875003
92,2.846040
93,3.010020
94,3.127908
95,3.058405
96,3.120961
97,2.952260
98,3.094215
99,2.933055
100,3.003459
101,2.821738
102,2.981664
103,2.881783
104,3.029434
105,3.114919
106,3.249321
107,2.945831
108,3.065238
109,2.843827
110,2.756643
111,3.224647
112,3.170944
113,3.137371
114,2.988916
115,3.125853
116,2.996525
117,3.051821
118,2.936444
119,3.268794
120,2.998458
121,2.872464
122,2.875502
123,2.954731
124,3.105301
125,2.883667
126,2.948229
127,2.942472
128,3.033579
129,3.008488
130,2.689804
131,3.070571
132,2.964100
133,3.097035
134,3.129949
135,2.935689
136,3.229087
137,3.130796
138,2.898012
139,3.115160
140,3.172872
141,2.849635
142,2.860968
143,3.061616
144,3.125458
145,3.139455
146,2.989891
147,2.998147
148,2.806351
149,3.139042
150,2.902500
151,2.934985
152,2.958230
153,3.011884
154,3.080451
155,2.784969
156,2.991208
157,2.958986
158,3.041070
159,3.060346
160,2.843248
161,3.034431
162,3.039829
163,3.097858
164,2.777715
165,3.071456
166,2.967550
167,2.841637
168,2.877902
169,2.849246
170,2.879604
171,3.028014
172,2.970978
173,2.582705
174,2.857640
175,3.161728
176,3.087342
177,2.941344
178,2.771450
179,3.093361
180,2.917600
181,2.894923
182,2.944272
183,3.154819
184,2.933062
185,2.853239
186,3.004531
187,2.883518
188,3.044213
189,3.066152
190,2.760345
191,2.652254
192,2.948488
193,3.037273
194,3.091697
195,2.982415
196,2.902141
197,3.287726
198,2.947507
199,3.093573
200,3.122027
201,3.084805
202,2.970155
203,2.911304
204,3.027586
205,2.923870
206,2.921928
207,3.152761
208,3.046098
209,2.848992
210,3.184019
211,2.902019
212,2.998429
213,3.050057
214,2.992354
215,3.022007
216,2.805652
217,3.012361
218,3.023176
219,2.887962
220,3.150199
221,3.070779
222,2.858742
223,3.122873
224,2.776303
225,3.007517
226,3.004942
227,2.986376
228,2.805574
