step,loss
0,3.016050
1,7.949961
2,7.388340
3,6.865213
4,6.750666
5,5.801684
6,5.508165
7,4.735043
8,5.067896
9,4.749114
10,4.465620
11,4.466953
12,4.096679
13,4.203461
14,4.154439
15,3.992984
16,3.795515
17,3.832857
18,3.851283
19,3.816513
20,3.784400
21,3.703262
22,3.686770
23,3.539916
24,3.575996
25,3.655877
26,3.640692
27,3.683853
28,3.325433
29,3.516131
30,3.717829
31,3.684474
32,3.642267
33,3.492615
34,3.644081
35,3.591596
36,3.531938
37,3.694501
38,3.366087
39,3.591771
40,3.598490
41,3.481599
42,3.464345
43,3.382776
44,3.465541
45,3.770848
46,3.436520
47,3.336739
48,3.657011
49,3.729940
50,4.228103
51,4.441387
52,3.979232
53,4.036709
54,4.003901
55,3.831904
56,3.829299
57,3.771850
58,3.679612
59,3.607046
60,3.409426
61,3.592251
62,3.519557
63,3.570650
64,3.768827
65,3.545245
66,3.661393
67,3.748052
68,3.476620
69,3.348097
70,3.557051
71,3.176890
72,3.266840
73,3.661305
74,3.336154
75,3.516289
76,3.450031
77,3.805925
78,3.567525
79,3.680213
80,3.465434
81,3.748479
82,3.890007
83,3.858450
84,4.058257
85,3.996097
86,3.843886
87,4.044066
88,3.816715
89,4.141644
90,3.767025
91,3.676188
92,3.602551
93,3.745623
94,3.561398
95,3.605864
96,3.429389
97,3.408627
98,3.307070
99,3.307344
100,3.299088
101,3.468295
102,3.306795
103,3.576301
104,3.414544
105,3.672518
106,3.290868
107,3.568611
108,3.410690
109,3.492043
110,3.476687
111,3.779167
112,3.553880
113,3.251458
114,3.436794
115,3.361349
116,3.492137
117,3.423790
118,3.508378
119,3.396464
120,3.321738
121,3.072454
122,3.435174
123,3.514427
124,3.542567
125,3.526747
126,3.390044
127,3.438572
128,3.701542
129,3.307060
130,3.655904
131,3.582937
132,3.753869
133,3.723484
134,3.303068
135,3.710433
136,3.400679
137,3.407487
138,3.544484
139,3.480966
140,3.343127
141,3.527434
142,3.644887
143,3.405494
144,3.450351
145,3.482681
146,3.257180
147,3.116785
148,3.607107
149,3.384418
150,3.372554
151,3.226335
152,3.433475
153,3.496078
154,3.509957
155,3.489924
156,3.366887
157,3.642895
158,3.698779
159,3.487647
160,3.799958
161,3.371949
162,3.945649
