step,loss
0,3.008366
1,3.043161
2,3.097150
3,3.084355
4,3.005042
5,3.061654
6,3.084962
7,2.962295
8,3.169182
9,3.078560
10,2.868082
11,2.982717
12,3.271702
13,3.009157
14,2.924137
15,3.278149
16,3.202425
17,2.939096
18,3.188795
19,2.797905
20,3.083842
21,3.121265
22,3.254700
23,3.120893
24,3.108318
25,3.231144
26,3.054208
27,3.261320
28,2.670160
29,3.021870
30,2.987134
31,3.126479
32,3.076715
33,3.302243
34,3.228584
35,3.075310
36,2.946056
37,2.999632
38,3.047852
39,3.033976
40,3.163245
41,3.007071
42,3.128880
43,3.079937
44,2.739277
45,3.267139
46,2.969030
47,3.180997
48,2.913202
49,3.169897
50,2.931446
51,3.112966
52,2.847624
53,2.930672
54,2.914765
55,2.963636
56,3.014455
57,3.126601
58,3.114630
59,3.083413
60,3.013308
61,2.931886
62,2.932646
63,3.146796
64,2.962943
65,2.931896
66,2.978431
67,2.799082
68,2.873026
69,3.099142
70,3.320185
71,2.896636
72,3.030825
73,2.852597
74,2.823519
75,3.105396
76,2.863179
77,3.000480
78,2.973616
79,3.005391
80,2.926204
81,2.944456
82,2.961880
83,3.047374
84,2.870655
85,2.880764
86,3.100061
87,2.776973
88,3.032916
89,3.177140
90,3.074276
91,2.874974
92,2.845963
93,3.010002
94,3.127873
95,3.058380
96,3.120886
97,2.952206
98,3.094167
99,2.933008
100,3.003462
101,2.821719
102,2.981581
103,2.881749
104,3.029402
105,3.114888
106,3.249293
107,2.945763
108,3.065161
109,2.843781
110,2.756578
111,3.224654
112,3.170933
113,3.137343
114,2.988827
115,3.125785
116,2.996415
117,3.051764
118,2.936435
119,3.268799
120,2.998417
121,2.872358
122,2.875431
123,2.954645
124,3.105187
125,2.883630
126,2.948211
127,2.942393
128,3.033458
129,3.008456
130,2.689748
131,3.070484
132,2.964025
133,3.096972
134,3.129858
135,2.935634
136,3.229018
137,3.130758
138,2.897986
139,3.115041
140,3.172767
141,2.849608
142,2.860857
143,3.061524
144,3.125417
145,3.139426
146,2.989811
147,2.998171
148,2.806285
149,3.138922
150,2.902425
151,2.934870
152,2.958124
153,3.011769
154,3.080433
155,2.784902
156,2.991127
157,2.958967
158,3.040963
159,3.060227
160,2.843209
161,3.034320
162,3.039812
163,3.097759
164,2.777629
165,3.071389
166,2.967452
167,2.841575
168,2.877815
169,2.849127
170,2.879522
171,3.027984
172,2.970879
173,2.582637
174,2.857573
175,3.161668
176,3.087274
177,2.941254
178,2.771374
179,3.093264
180,2.917577
181,2.894780
182,2.944149
183,3.154729
184,2.932965
185,2.853163
186,3.004413
187,2.883442
188,3.044139
189,3.066095
190,2.760221
191,2.652213
192,2.948413
193,3.037227
194,3.091603
195,2.982326
196,2.902107
197,3.287652
198,2.947416
199,3.093416
200,3.121958
201,3.084749
202,2.970028
203,2.911184
204,3.027459
205,2.923796
206,2.921856
207,3.152741
208,3.046031
209,2.848925
210,3.183919
211,2.901928
212,2.998414
213,3.049984
214,2.992357
215,3.021917
216,2.805584
217,3.012249
218,3.023099
219,2.887862
220,3.150063
221,3.070664
222,2.858680
223,3.122735
224,2.776212
225,3.007402
226,3.004890
227,2.986262
228,2.805511
229,3.109617
230,3.108179
231,3.102269
232,2.988717
233,2.857428
234,3.071126
235,2.822134
236,3.052094
237,2.905751
238,3.001274
239,2.726756
240,3.140066
241,2.790566
242,3.043035
243,2.967317
244,2.969901
245,2.843562
246,2.983873
247,2.805056
248,2.960876
249,2.956288
250,2.945574
251,2.936171
252,3.093822
253,2.857737
254,2.637034
255,3.055078
256,2.976058
257,2.856880
258,3.028913
259,2.857209
260,2.992343
261,2.921867
262,3.105030
263,2.737484
264,2.959420
265,3.029030
266,2.925897
267,3.109784
268,2.893846
269,2.836288
270,2.907919
271,2.700849
272,2.912796
273,3.136381
274,2.910259
275,2.950360
276,2.996713
277,2.970325
278,3.175281
279,2.983892
280,3.059416
281,2.710068
282,2.906324
283,3.068991
284,3.116916
285,2.962306
286,2.847362
287,2.958034
288,2.802815
289,3.036414
290,3.171328
291,2.843176
292,3.307101
293,2.844103
294,2.985691
295,3.031865
296,2.829478
297,2.724942
298,2.872297
299,2.863606
300,2.921745
301,2.855288
302,2.997303
303,2.952895
304,3.079588
305,2.858466
