step,loss,eval_loss
0,3.147734,3.001571
1,3.363844,
2,3.109686,
3,3.225234,
4,2.836680,
5,2.821262,
6,2.736456,
7,2.924454,
8,2.858043,
9,2.957823,
10,2.848170,
11,2.872085,
12,2.617339,
13,2.948074,
14,2.558772,
15,2.728790,
16,2.947924,
17,2.874294,
18,2.773837,
19,3.018663,
20,2.931710,
21,2.937298,
22,2.793488,
23,2.892161,
24,2.908798,
25,2.883358,2.915125
26,3.111984,
27,3.025405,
28,2.892328,
29,2.910424,
30,2.923984,
31,3.067182,
32,3.129451,
33,3.082101,
34,3.136571,
35,3.048292,
36,3.098725,
37,3.115117,
38,2.843151,
39,2.938789,
40,3.095461,
41,3.169832,
42,3.103954,
43,3.189627,
44,3.165985,
45,3.105621,
46,3.094503,
47,2.983463,
48,3.168285,
49,3.257867,
50,3.022909,3.261605
51,3.455034,
52,3.205264,
53,3.313240,
54,3.309899,
55,3.195883,
56,3.408615,
57,3.420814,
58,3.224591,
59,3.199765,
60,3.490102,
61,3.425410,
62,3.354737,
63,3.509188,
64,3.583376,
65,3.379329,
66,3.205891,
67,3.459255,
68,3.094360,
69,3.230573,
70,3.427190,
71,3.400187,
72,3.305286,
73,3.590315,
74,3.166512,
75,3.330853,3.481991
76,3.142530,
77,3.185503,
78,3.264250,
79,3.272480,
80,3.393303,
81,3.594416,
82,3.405005,
83,3.402875,
84,3.390787,
85,3.375659,
86,3.586034,
87,3.494604,
88,3.386033,
89,3.404316,
90,3.125811,
91,3.534826,
92,3.653159,
93,3.383786,
94,3.325412,
95,3.179617,
96,3.366769,
97,3.570586,
98,3.595446,
99,3.419340,
100,3.372340,3.587972
101,3.400895,
102,3.731110,
103,3.495119,
104,3.660159,
105,3.526332,
106,3.274296,
107,3.555515,
108,3.519225,
109,3.606188,
110,3.402460,
111,3.427334,
112,3.423239,
113,3.545433,
114,3.423048,
115,3.483144,
116,3.172822,
117,3.490993,
118,3.446014,
119,3.461676,
120,3.329544,
121,3.693058,
122,3.433813,
123,3.442172,
124,3.386744,
125,3.524081,3.558769
126,3.592186,
127,3.508588,
128,3.426544,
129,3.486795,
130,3.663440,
131,3.583471,
132,3.220788,
133,3.656598,
134,3.542196,
135,3.495991,
136,3.698067,
137,3.535137,
138,3.381049,
139,3.433106,
140,3.330778,
141,3.498999,
142,3.457141,
143,4.055031,
144,3.456575,
145,4.092754,
146,3.659861,
147,3.558673,
148,3.570075,
149,3.405461,
150,3.635316,3.751909
151,3.677268,
152,3.650401,
153,3.476960,
154,3.448313,
155,3.343347,
156,3.646691,
157,3.435704,
158,3.694417,
159,3.466695,
160,3.611277,
161,3.593136,
162,3.520040,
163,3.817092,
164,3.625118,
165,3.555775,
166,3.318635,
167,3.440079,
168,3.356928,
169,3.580891,
170,3.742089,
171,3.463763,
172,3.787462,
173,3.528601,
174,3.650371,
175,3.429461,3.649066
176,3.457325,
177,3.719664,
178,3.580665,
179,3.712774,
180,3.580240,
181,3.504216,
182,3.473770,
183,3.800719,
184,3.698346,
185,3.578289,
186,3.394653,
187,3.368151,
188,3.546346,
189,3.520770,
190,3.614785,
191,3.427718,
192,3.436921,
193,3.554168,
194,3.612884,
195,3.706547,
196,3.699171,
197,3.321952,
198,3.516540,
199,3.503977,
200,3.459808,3.710317
201,3.570801,
202,3.422970,
203,3.690287,
204,3.341772,
205,3.657995,
206,3.680871,
207,3.623287,
208,3.209156,
209,3.153290,
210,3.702071,
211,3.362325,
212,3.684800,
213,3.557733,
214,3.694334,
215,3.322394,
216,3.575007,
217,3.821260,
218,3.276230,
219,3.565799,
220,3.669358,
221,3.414833,
222,3.804242,
223,3.636930,
224,3.552647,
225,3.913296,3.755881
226,3.543566,
227,3.755960,
228,3.899047,
229,3.703065,
230,3.614470,
231,3.493747,
232,3.367110,
233,3.661388,
234,3.920376,
235,3.659440,
236,3.905273,
237,3.665381,
238,3.559376,
239,3.545416,
240,3.787698,
241,3.740000,
242,3.602723,
243,3.681727,
244,3.733944,
245,3.641649,
246,3.574940,
247,3.464132,
248,3.719248,
249,3.524082,
250,3.446773,3.765846
251,3.774876,
252,3.315466,
253,3.386481,
254,3.613174,
255,3.499388,
256,3.466659,
257,3.517881,
258,3.679199,
259,3.359270,
260,3.476653,
261,3.446225,
262,3.611271,
263,3.535713,
264,3.716280,
265,3.342878,
266,3.341799,
267,3.618588,
268,3.300658,
269,3.406520,
270,3.560110,
271,3.633971,
272,3.652457,
273,3.707806,
274,3.654334,
275,3.683875,3.788153
