step,loss,eval_loss
0,3.147733,2.994370
1,3.356421,
2,3.096859,
3,3.207399,
4,2.817846,
5,2.809764,
6,2.721679,
7,2.913654,
8,2.847555,
9,2.950869,
10,2.843364,
11,2.875993,
12,2.620525,
13,2.951149,
14,2.566227,
15,2.731747,
16,2.949664,
17,2.876894,
18,2.770715,
19,3.017267,
20,2.926268,
21,2.946230,
22,2.803713,
23,2.880113,
24,2.909840,
25,2.886883,2.911444
26,3.115380,
27,3.022969,
28,2.896489,
29,2.909550,
30,2.916879,
31,3.057549,
32,3.109917,
33,3.079333,
34,3.130309,
35,3.025422,
36,3.092100,
37,3.085290,
38,2.849060,
39,2.950169,
40,3.079708,
41,3.155798,
42,3.095819,
43,3.156121,
44,3.234701,
45,3.152570,
46,3.289840,
47,3.101099,
48,3.441915,
49,3.456574,
50,3.239272,3.345115
51,3.593728,
52,3.363897,
53,3.428519,
54,3.505286,
55,3.360415,
56,3.526326,
57,3.575633,
58,3.407920,
59,3.333587,
60,3.667073,
61,3.569778,
62,3.839572,
63,3.775260,
64,3.946123,
65,3.682680,
66,3.548176,
67,3.742322,
68,3.395413,
69,3.559424,
70,3.638706,
71,3.679904,
72,3.610309,
73,3.848930,
74,3.373523,
75,3.640765,3.773412
76,3.332887,
77,3.570000,
78,3.560282,
79,3.525081,
80,3.555005,
81,3.840456,
82,3.596026,
83,3.548459,
84,3.631909,
85,3.513095,
86,3.712629,
87,3.545447,
88,3.513038,
89,3.494755,
90,3.327856,
91,3.711977,
92,3.966514,
93,3.629738,
94,3.549105,
95,3.250675,
96,3.511437,
97,3.675443,
98,3.674731,
99,3.550221,
100,3.554916,3.689639
101,3.479527,
102,3.804438,
103,3.647576,
104,3.787651,
105,3.523122,
106,3.330592,
107,3.615018,
108,3.599310,
109,3.739495,
110,3.608021,
111,3.604717,
112,3.535743,
113,3.678652,
114,3.549849,
115,3.601781,
116,3.300203,
117,3.598887,
118,3.635307,
119,3.602515,
120,3.436584,
121,3.764126,
122,3.600312,
123,3.620548,
124,3.630843,
125,3.742741,3.780012
126,3.734965,
127,3.665347,
128,3.556401,
129,3.550698,
130,3.765628,
131,3.675939,
132,3.320575,
133,3.710351,
134,3.636989,
135,3.647338,
136,3.900468,
137,3.953300,
138,3.984406,
139,3.703256,
140,3.839398,
141,3.912400,
142,3.847947,
143,4.163176,
144,3.692558,
145,4.014578,
146,3.736231,
147,3.616021,
148,3.574299,
149,3.555317,
150,4.396158,4.032495
151,4.163510,
152,3.883533,
153,3.629974,
154,3.413835,
155,3.349185,
156,3.616907,
157,3.339976,
158,3.604124,
159,3.489907,
160,3.783209,
161,3.808850,
162,3.611495,
163,3.965103,
164,3.741363,
165,3.597184,
166,3.416450,
167,3.478399,
168,3.306345,
169,3.562758,
170,3.675282,
171,3.442314,
172,3.703613,
173,3.537529,
174,3.700954,
175,3.431186,3.696482
176,3.537716,
177,3.718571,
178,3.506870,
179,3.765875,
180,3.607321,
181,3.491837,
182,3.497423,
183,3.763877,
184,3.639427,
185,3.610504,
186,3.482175,
187,3.411071,
188,3.581036,
189,3.610723,
190,3.668911,
191,3.537022,
192,3.660686,
193,3.650808,
194,3.684907,
195,3.804424,
196,3.806597,
197,3.404155,
198,3.554696,
199,3.445472,
200,3.495510,3.696366
201,3.577138,
202,3.394602,
203,3.724197,
204,3.463695,
205,3.595368,
206,3.685534,
207,3.668068,
208,3.241229,
209,3.266659,
210,3.838751,
211,3.463078,
212,3.718803,
213,3.637545,
214,3.728656,
215,3.383140,
216,3.610302,
217,3.877121,
218,3.539890,
219,3.679826,
220,3.716464,
221,3.522331,
222,3.875135,
223,3.820645,
224,3.864492,
225,4.480009,3.884733
226,3.834876,
227,3.693551,
228,3.977021,
229,3.759464,
230,3.686269,
231,3.477883,
232,3.329479,
233,3.712258,
234,3.868951,
235,3.597259,
236,3.797964,
237,3.555834,
238,3.477644,
239,3.402391,
240,3.452753,
241,3.650024,
242,3.653155,
243,3.616635,
244,3.708790,
245,3.577420,
246,3.648772,
247,3.570107,
248,3.793683,
249,3.564917,
250,3.480125,3.775250
251,3.817070,
252,3.373458,
253,3.418419,
254,3.622237,
255,3.464042,
256,3.486047,
257,3.417408,
258,3.723455,
259,3.490919,
260,3.513601,
261,3.474601,
262,3.633696,
263,3.508346,
264,3.685587,
265,3.288148,
266,3.347845,
267,3.596841,
268,3.356094,
269,3.441670,
270,3.620657,
271,3.532089,
272,3.635253,
273,3.684088,
274,3.634922,
275,3.588306,3.724491
276,3.623738,
277,3.283481,
278,3.471139,
279,3.757991,
280,3.623755,
281,3.536252,
282,3.425029,
283,3.511464,
284,3.613103,
285,3.612801,
286,3.536281,
287,3.601148,
288,3.669604,
289,3.787992,
290,3.512104,
291,3.156179,
292,3.341921,
293,3.722635,
294,3.696043,
295,3.725342,
296,3.842591,
297,3.447257,
298,3.645050,
299,3.876720,
300,3.731631,3.771163
301,3.536128,
302,3.640813,
303,3.517376,
304,3.732524,
305,3.917231,
306,3.659158,
307,3.669611,
308,3.135053,
309,3.699813,
310,3.497849,
311,3.699469,
312,3.598915,
313,3.776441,
314,3.640301,
315,3.870658,
316,3.698226,
317,3.739935,
318,3.578595,
319,3.396505,
320,3.275685,
321,3.860921,
322,3.915255,
323,3.855907,
324,3.721482,
325,3.288706,3.789888
326,3.496647,
327,3.625717,
328,3.426269,
329,3.621581,
330,3.456981,
331,3.543598,
332,3.844497,
333,3.396010,
334,3.416137,
335,3.380108,
336,3.708375,
337,3.514139,
338,3.625239,
339,3.536024,
340,3.452905,
341,3.384109,
342,3.405615,
343,3.500696,
344,3.432833,
345,3.746504,
346,3.577105,
347,3.482197,
348,3.691344,
349,3.509436,
350,3.532409,3.711011
351,3.414510,
352,3.719653,
353,3.376324,
354,3.578485,
355,3.591358,
356,3.420221,
357,3.719195,
358,3.712147,
359,3.665920,
360,3.255603,
361,3.620768,
362,3.703088,
363,3.681797,
364,3.936366,
365,3.359410,
366,3.684893,
367,3.413483,
368,3.648435,
369,3.729993,
370,3.657225,
371,3.569852,
372,3.618166,
373,3.380634,
374,3.441002,
375,3.840119,3.695232
376,3.269397,
377,3.204370,
378,3.738706,
379,3.543801,
380,3.609514,
381,3.916750,
382,3.304308,
383,3.855977,
384,3.482033,
385,3.431166,
386,3.396433,
387,3.465304,
388,3.270252,
389,3.362594,
390,3.598661,
391,3.826741,
392,3.448858,
393,3.436349,
394,3.239943,
395,3.775858,
396,3.797195,
397,3.524092,
398,3.651388,
399,3.479733,3.659558
