step,loss,eval_loss
0,3.147734,3.001552
1,3.363858,
2,3.108183,
3,3.225043,
4,2.842140,
5,2.828957,
6,2.748421,
7,2.934612,
8,2.872586,
9,2.979748,
10,2.862499,
11,2.884202,
12,2.621677,
13,2.962496,
14,2.561699,
15,2.727856,
16,2.947273,
17,2.864199,
18,2.755757,
19,2.992848,
20,2.913168,
21,2.918033,
22,2.759259,
23,2.839917,
24,2.877496,
25,2.865041,2.867652
26,3.083119,
27,2.964601,
28,2.837685,
29,2.853382,
30,2.867187,
31,3.008133,
32,3.036865,
33,3.012008,
34,3.039331,
35,2.931474,
36,2.982074,
37,3.011513,
38,2.726670,
39,2.855128,
40,2.980037,
41,3.039068,
42,2.989549,
43,3.067230,
44,3.029839,
45,2.977887,
46,2.986400,
47,2.832428,
48,3.005119,
49,3.065683,
50,2.858200,3.030256
51,3.302901,
52,3.008424,
53,3.136296,
54,3.070401,
55,3.007440,
56,3.142421,
57,3.165094,
58,2.947166,
59,2.905149,
60,3.216771,
61,3.143811,
62,3.085986,
63,3.038247,
64,3.238903,
65,3.112230,
66,2.942443,
67,3.183153,
68,2.791219,
69,2.920009,
70,3.100554,
71,3.080788,
72,3.019117,
73,3.244568,
74,2.916710,
75,3.125288,3.265971
76,2.965580,
77,3.173498,
78,3.206087,
79,3.202762,
80,3.117756,
81,3.366663,
82,3.209127,
83,3.148959,
84,3.208026,
85,3.092205,
86,3.345542,
87,3.192663,
88,3.152273,
89,3.161613,
90,2.898266,
91,3.287261,
92,3.322459,
93,3.122096,
94,3.060758,
95,3.001086,
96,3.066587,
97,3.292860,
98,3.323401,
99,3.142704,
100,3.142521,3.318837
101,3.109479,
102,3.564871,
103,3.241425,
104,3.426313,
105,3.172573,
106,2.890491,
107,3.309581,
108,3.177583,
109,3.222526,
110,3.018844,
111,3.077999,
112,3.038724,
113,3.191164,
114,3.136266,
115,3.175566,
116,2.915596,
117,3.269562,
118,3.620604,
119,3.422221,
120,3.207882,
121,3.652113,
122,3.392973,
123,3.329342,
124,3.318784,
125,3.351485,3.297882
126,3.331330,
127,3.278952,
128,3.198584,
129,3.195173,
130,3.377683,
131,3.239657,
132,2.926093,
133,3.443396,
134,3.287570,
135,3.276266,
136,3.499417,
137,3.265055,
138,3.177286,
139,3.069038,
140,3.108608,
141,3.237949,
142,3.321677,
143,3.734855,
144,3.261043,
145,3.638447,
146,3.606296,
147,3.555274,
148,3.620412,
149,4.035681,
150,4.302012,4.745721
151,4.684761,
152,4.660316,
153,4.057713,
154,3.752986,
155,3.398715,
156,3.509334,
157,3.353519,
158,3.478112,
159,3.227216,
160,3.339377,
161,3.379819,
162,3.282152,
163,3.489880,
164,3.361737,
165,3.257552,
166,3.081700,
167,3.246681,
168,3.149745,
169,3.352592,
170,3.384962,
171,3.227860,
172,3.439373,
173,3.248715,
174,3.423992,
175,3.169994,3.389890
176,3.316650,
177,3.536837,
178,3.390127,
179,3.621783,
180,3.390407,
181,3.306500,
182,3.375768,
183,3.589628,
184,3.458560,
185,3.477463,
186,3.253530,
187,3.182833,
188,3.373994,
189,3.293843,
190,3.383974,
191,3.156626,
192,3.196758,
193,3.245451,
194,3.240339,
195,3.422816,
196,3.405905,
197,3.045201,
198,3.123879,
199,3.113441,
200,3.227475,3.336355
201,3.352060,
202,3.117354,
203,3.324578,
204,2.999724,
205,3.235667,
206,3.315632,
207,3.324561,
208,2.980090,
209,2.873851,
210,3.341897,
211,3.039309,
212,3.380082,
213,3.233908,
214,3.317192,
215,3.009343,
216,3.268628,
217,3.476634,
218,2.998375,
219,3.271554,
220,3.332958,
221,3.116897,
222,3.469393,
223,3.267076,
224,3.172278,
225,3.568890,3.380889
226,3.242361,
227,3.461102,
228,3.649501,
229,3.466446,
230,3.407760,
231,3.120512,
232,2.981443,
233,3.250740,
234,3.477651,
235,3.199197,
236,3.484825,
237,3.173080,
238,3.142054,
239,3.091984,
240,3.127585,
241,3.218483,
242,3.197208,
243,3.228780,
244,3.353703,
245,3.196711,
246,3.224017,
247,3.088558,
248,3.323050,
249,3.138576,
250,3.067493,3.310472
