step,loss,eval_loss
0,3.147734,2.993677
1,3.356266,
2,3.090072,
3,3.212251,
4,2.841139,
5,2.836349,
6,2.758528,
7,2.943685,
8,2.887982,
9,2.995545,
10,2.894385,
11,2.922009,
12,2.676037,
13,3.037135,
14,2.616448,
15,2.787195,
16,3.010941,
17,2.936039,
18,2.834749,
19,3.078337,
20,2.976148,
21,3.008056,
22,2.830847,
23,2.932313,
24,2.989317,
25,2.978892,2.985971
26,3.205323,
27,3.089087,
28,3.007860,
29,3.022474,
30,2.976945,
31,3.130018,
32,3.173654,
33,3.176472,
34,3.194438,
35,3.091045,
36,3.180379,
37,3.228444,
38,2.922784,
39,3.056877,
40,3.262676,
41,3.319317,
42,3.229813,
43,3.272304,
44,3.221255,
45,3.130749,
46,3.071866,
47,2.966972,
48,3.143847,
49,3.233109,
50,3.054812,3.238444
51,3.508400,
52,3.247953,
53,3.313291,
54,3.218716,
55,3.223702,
56,3.380803,
57,3.357538,
58,3.185781,
59,3.120236,
60,3.464833,
61,3.492180,
62,3.532341,
63,3.361762,
64,3.446446,
65,3.538301,
66,3.322578,
67,3.466532,
68,3.038815,
69,3.158123,
70,3.434708,
71,3.368531,
72,3.695882,
73,3.654264,
74,3.199883,
75,3.375618,3.388926
76,3.182240,
77,3.230356,
78,3.365421,
79,3.216264,
80,3.275269,
81,3.484597,
82,3.301164,
83,3.365832,
84,3.411932,
85,3.387200,
86,3.600801,
87,3.433532,
88,3.445362,
89,3.344473,
90,3.108282,
91,3.483347,
92,3.605152,
93,3.339483,
94,3.250804,
95,3.109152,
96,3.315066,
97,3.540179,
98,3.446261,
99,3.335757,
100,3.364768,3.484887
101,3.338571,
102,3.570936,
103,3.402081,
104,3.519942,
105,3.310730,
106,3.142858,
107,3.354182,
108,3.508322,
109,3.476945,
110,3.247831,
111,3.308071,
112,3.276368,
113,3.455544,
114,3.360819,
115,3.503515,
116,3.099694,
117,3.393229,
118,3.440977,
119,3.443606,
120,3.228103,
121,3.603932,
122,3.416777,
123,3.354915,
124,3.412249,
125,3.439589,3.508141
126,3.499027,
127,3.457115,
128,3.353321,
129,3.383105,
130,3.505715,
131,3.445130,
132,3.142287,
133,3.569501,
134,3.378708,
135,3.384029,
136,3.521631,
137,3.374012,
138,3.298909,
139,3.222572,
140,3.258276,
141,3.326043,
142,3.388111,
143,3.709288,
144,3.300672,
145,3.629883,
146,3.430914,
147,3.388838,
148,3.392015,
149,3.285014,
150,3.463370,3.460016
151,3.445724,
152,3.377343,
153,3.270672,
154,3.152275,
155,3.088029,
156,3.414947,
157,3.164754,
158,3.499914,
159,3.303189,
160,3.438971,
161,3.451088,
162,3.351662,
163,3.568076,
164,3.400770,
165,3.277106,
166,3.074398,
167,3.277231,
168,3.157698,
169,3.386190,
170,3.423585,
171,3.243415,
172,3.567713,
173,3.330272,
174,3.476820,
175,3.239780,3.431535
176,3.294646,
177,3.474040,
178,3.339904,
179,3.545730,
180,3.413699,
181,3.315117,
182,3.302064,
183,3.634494,
184,3.523897,
185,3.486564,
186,3.332364,
187,3.193027,
188,3.401795,
189,3.408252,
190,3.485173,
191,3.270528,
192,3.298554,
193,3.371983,
194,3.392081,
195,3.513941,
196,3.512233,
197,3.154568,
198,3.285148,
199,3.311788,
200,3.330894,3.491601
201,3.453689,
202,3.227579,
203,3.509027,
204,3.196415,
205,3.397815,
206,3.503480,
207,3.472627,
208,3.080013,
209,2.961173,
210,3.420737,
211,3.219202,
212,3.478726,
213,3.464975,
214,3.493435,
215,3.167470,
216,3.384997,
217,3.613574,
218,3.130412,
219,3.423321,
220,3.534870,
221,3.264286,
222,3.616203,
223,3.345941,
224,3.272951,
225,3.650801,3.464438
226,3.303918,
227,3.448123,
228,3.628129,
229,3.380067,
230,3.386389,
231,3.235860,
232,3.062532,
233,3.335159,
234,3.594856,
235,3.360288,
236,3.552495,
237,3.369132,
238,3.270689,
239,3.206111,
240,3.302048,
241,3.344613,
242,3.329832,
243,3.292284,
244,3.491987,
245,3.316455,
246,3.330386,
247,3.164799,
248,3.466855,
249,3.303964,
250,3.169204,3.475926
251,3.611696,
252,3.127586,
253,3.139866,
254,3.346753,
255,3.235654,
256,3.204209,
257,3.171539,
258,3.394830,
259,3.153590,
260,3.248521,
261,3.257315,
262,3.396943,
263,3.346466,
264,3.553516,
265,3.146447,
266,3.160410,
267,3.424960,
268,3.136873,
269,3.219751,
270,3.410731,
271,3.380074,
272,3.421324,
273,3.553804,
274,3.454250,
275,3.440586,3.485914
276,3.434507,
277,3.130496,
278,3.282183,
279,3.528734,
280,3.348061,
281,3.280408,
282,3.211821,
283,3.239917,
284,3.370121,
285,3.349919,
286,3.284917,
287,3.387300,
288,3.470486,
289,3.513247,
290,3.300376,
291,2.975279,
292,3.113318,
293,3.427513,
294,3.433510,
295,3.456733,
296,3.556849,
297,3.250257,
298,3.361829,
299,3.572961,
300,3.492239,3.481144
301,3.245035,
302,3.356788,
303,3.231126,
304,3.482374,
305,3.499514,
306,3.450911,
307,3.499841,
308,2.978296,
309,3.490392,
310,3.283184,
311,3.477972,
312,3.388228,
313,3.497828,
314,3.434676,
315,3.604057,
316,3.484425,
317,3.514660,
318,3.394693,
319,3.183898,
320,3.068036,
321,3.686535,
322,3.636873,
323,3.615559,
324,3.492307,
325,3.101153,3.485490
326,3.272107,
327,3.437865,
328,3.280588,
329,3.408260,
330,3.291948,
331,3.369239,
332,3.611092,
333,3.261749,
334,3.283662,
335,3.241634,
336,3.535769,
337,3.371026,
338,3.415488,
339,3.379568,
340,3.271260,
341,3.166872,
342,3.194244,
343,3.326895,
344,3.220264,
345,3.486425,
346,3.368152,
347,3.190919,
348,3.464311,
349,3.313370,
350,3.348611,3.470217
351,3.157298,
352,3.468101,
353,3.213886,
354,3.387609,
355,3.369957,
356,3.187449,
357,3.412441,
358,3.421083,
359,3.488575,
360,3.089036,
361,3.448879,
362,3.488303,
363,3.410457,
364,3.730083,
365,3.149097,
366,3.549046,
367,3.256158,
368,3.444745,
369,3.437505,
370,3.448163,
371,3.300939,
372,3.377583,
373,3.172704,
374,3.223882,
375,3.618622,3.450448
376,3.082733,
377,3.035147,
378,3.492405,
379,3.301885,
380,3.376472,
381,3.684495,
382,3.072718,
383,3.596655,
384,3.273683,
385,3.214685,
386,3.226889,
387,3.243231,
388,3.058249,
389,3.139594,
390,3.394790,
391,3.640303,
392,3.250503,
393,3.235027,
394,3.067203,
395,3.574432,
396,3.690083,
397,3.348342,
398,3.503933,
399,3.370277,3.472553
