step,loss,eval_loss
0,3.147734,3.009635
1,3.372181,
2,3.129910,
3,3.255144,
4,2.868998,
5,2.849030,
6,2.772769,
7,2.955980,
8,2.898020,
9,3.001496,
10,2.879826,
11,2.896299,
12,2.613156,
13,2.946163,
14,2.567334,
15,2.725043,
16,2.905412,
17,2.828149,
18,2.741277,
19,2.972925,
20,2.886557,
21,2.875556,
22,2.746004,
23,2.820786,
24,2.828390,
25,2.829983,2.817711
26,3.044069,
27,2.927045,
28,2.816731,
29,2.814426,
30,2.805014,
31,2.939350,
32,2.990171,
33,2.958563,
34,2.972989,
35,2.885717,
36,2.921449,
37,2.949053,
38,2.672202,
39,2.763622,
40,2.928942,
41,2.957597,
42,2.928913,
43,3.008348,
44,2.947348,
45,2.889743,
46,2.893780,
47,2.745048,
48,2.906096,
49,2.942754,
50,2.797244,3.023012
51,3.200866,
52,3.081120,
53,3.045232,
54,3.076323,
55,2.936220,
56,3.065888,
57,3.100826,
58,2.872380,
59,2.842147,
60,3.148750,
61,3.074301,
62,3.049106,
63,3.049272,
64,3.196604,
65,3.053125,
66,2.867943,
67,3.086028,
68,2.775984,
69,2.872414,
70,3.013298,
71,3.017069,
72,2.922722,
73,3.117821,
74,2.834646,
75,2.995963,3.044256
76,2.810976,
77,2.873706,
78,2.948663,
79,2.928232,
80,2.994998,
81,3.262659,
82,3.073823,
83,3.061086,
84,3.058023,
85,2.912279,
86,3.209534,
87,3.061694,
88,3.023199,
89,3.054983,
90,2.824934,
91,3.200420,
92,3.266994,
93,3.082209,
94,2.982016,
95,2.926990,
96,2.959357,
97,3.213370,
98,3.210001,
99,3.065645,
100,3.064451,3.169629
101,2.990199,
102,3.295707,
103,3.152391,
104,3.238516,
105,3.294176,
106,2.851784,
107,3.296555,
108,3.043136,
109,3.142448,
110,3.046212,
111,2.998305,
112,2.960985,
113,3.080768,
114,3.028768,
115,3.054409,
116,2.802849,
117,3.053029,
118,3.092458,
119,3.090228,
120,2.934489,
121,3.254539,
122,3.092479,
123,3.087106,
124,3.073492,
125,3.224011,3.117683
126,3.183741,
127,3.082325,
128,3.021690,
129,3.053365,
130,3.214946,
131,3.152321,
132,2.880120,
133,3.277233,
134,3.125802,
135,3.089906,
136,3.264340,
137,3.116468,
138,3.034730,
139,2.943318,
140,2.943349,
141,3.018266,
142,3.016524,
143,3.313280,
144,3.004039,
145,3.289749,
146,3.151424,
147,3.105690,
148,3.078180,
149,2.987045,
150,3.130675,3.115360
151,3.153196,
