step,loss,eval_loss
0,3.147733,3.008967
1,3.371636,
2,3.126348,
3,3.251551,
4,2.868863,
5,2.852627,
6,2.779521,
7,2.969779,
8,2.911114,
9,3.021830,
10,2.892018,
11,2.916103,
12,2.635829,
13,2.975641,
14,2.592180,
15,2.753564,
16,2.943908,
17,2.860715,
18,2.764464,
19,2.999641,
20,2.908558,
21,2.910570,
22,2.765979,
23,2.825366,
24,2.855123,
25,2.839818,2.829160
26,3.054562,
27,2.927219,
28,2.808141,
29,2.807858,
30,2.826889,
31,2.975662,
32,2.990439,
33,2.958694,
34,2.987725,
35,2.888673,
36,2.932396,
37,2.953054,
38,2.672145,
39,2.767751,
40,2.896924,
41,2.935846,
42,2.899229,
43,2.966327,
44,2.912822,
45,2.849620,
46,2.842177,
47,2.698070,
48,2.851087,
49,2.914410,
50,2.744706,2.873601
51,3.160113,
52,2.918490,
53,3.003592,
54,2.922221,
55,2.867478,
56,2.967767,
57,3.027512,
58,2.811712,
59,2.775137,
60,3.080392,
61,3.027404,
62,2.980212,
63,2.904958,
64,3.099453,
65,2.978302,
66,2.767025,
67,3.018172,
68,2.664410,
69,2.769618,
70,2.914963,
71,2.892179,
72,2.844890,
73,3.027297,
74,2.716864,
75,2.898550,2.900649
76,2.664633,
77,2.790907,
78,2.840108,
79,2.785866,
80,2.856689,
81,3.103829,
82,2.955474,
83,2.878258,
84,2.924240,
85,2.792589,
86,3.300735,
87,2.948046,
88,2.921357,
89,2.932222,
90,2.719284,
91,3.088151,
92,3.152742,
93,2.941498,
94,2.849624,
95,2.690609,
96,2.870209,
97,3.075234,
98,3.053076,
99,2.933659,
100,2.932895,2.942759
101,2.878011,
102,3.187922,
103,3.031002,
104,3.117280,
105,2.834456,
106,2.700181,
107,2.955963,
108,2.886844,
109,2.987793,
110,2.808034,
111,2.818478,
112,2.770330,
113,2.956089,
114,2.881979,
115,2.926717,
116,2.667290,
117,2.917989,
118,2.988090,
119,2.948983,
120,2.789541,
121,3.057719,
122,2.943442,
123,2.945858,
124,2.939451,
125,2.931267,2.951374
126,3.057442,
127,2.985198,
128,2.911204,
129,2.919082,
130,3.087327,
131,2.972504,
132,2.634104,
133,3.109796,
134,2.942022,
135,2.938281,
136,3.130562,
137,2.997939,
138,2.868190,
139,2.795176,
140,2.807140,
141,2.856678,
142,2.901851,
143,3.172797,
144,2.875384,
145,3.120680,
146,2.949981,
147,2.943636,
148,2.932503,
149,2.830670,
150,2.984807,2.943235
151,2.988799,
152,2.909448,
153,2.823601,
154,2.806077,
155,2.657535,
156,2.969324,
157,2.797203,
158,2.982840,
159,2.829450,
160,2.958533,
161,3.000935,
162,2.894877,
163,3.113041,
164,2.991928,
165,2.853056,
166,2.687881,
167,2.809299,
168,2.759068,
169,2.919422,
170,2.946494,
171,2.859542,
172,3.105684,
173,2.853189,
174,3.023722,
175,2.806640,2.923100
176,2.873633,
177,3.091921,
178,2.943737,
179,3.147802,
180,2.995382,
181,2.843396,
182,2.884472,
183,3.109438,
184,3.036413,
185,3.010427,
186,2.893961,
187,2.797475,
188,2.924023,
189,2.874778,
190,3.000446,
191,2.782456,
192,2.823289,
193,2.937016,
194,2.917903,
195,3.078900,
196,3.071283,
197,2.764558,
198,2.821038,
199,2.875389,
200,2.908224,2.927921
201,3.016720,
202,2.843468,
203,3.049671,
204,2.801754,
205,2.987609,
206,2.991110,
207,2.986285,
208,2.696131,
209,2.625444,
210,2.986061,
211,2.782828,
212,3.065574,
213,2.978929,
214,2.999240,
215,2.735281,
216,2.993963,
217,3.225952,
218,2.775000,
219,2.969791,
220,2.964195,
221,2.759638,
222,3.174345,
223,2.920306,
224,2.850025,
225,3.221310,2.922820
226,2.885325,
227,2.929245,
228,3.085515,
229,2.980027,
230,2.982965,
231,2.761273,
232,2.643221,
233,2.909325,
234,3.104123,
235,2.858446,
236,3.106852,
237,2.901494,
238,2.844914,
239,2.795290,
240,2.847878,
241,2.901006,
242,2.877730,
243,2.929623,
244,3.046149,
245,2.920786,
246,2.887057,
247,2.741889,
248,3.004167,
249,2.879413,
250,2.798926,2.921334
251,3.097291,
252,2.732282,
253,2.723072,
254,2.879032,
255,2.842256,
256,2.797225,
257,2.774181,
258,2.877608,
259,2.674627,
260,2.882426,
261,2.805512,
262,3.002827,
263,2.873502,
264,3.040779,
265,2.661945,
266,2.791493,
267,2.945794,
268,2.668882,
269,2.795964,
270,2.973254,
271,2.904420,
272,2.941170,
273,3.114723,
274,3.019290,
275,2.975954,2.937906
276,2.967827,
277,2.742704,
278,2.844814,
279,3.085737,
280,2.938361,
281,2.910610,
282,2.819416,
283,2.815731,
284,2.948584,
285,2.906432,
286,2.908064,
287,3.020257,
288,3.034970,
289,3.047061,
290,2.863418,
291,2.617872,
292,2.707468,
293,3.015544,
294,3.009736,
295,2.983577,
296,3.040869,
297,2.804278,
298,2.931206,
299,3.077672,
300,3.068897,2.940288
301,2.872257,
302,2.907820,
303,2.830351,
304,3.061145,
305,3.037950,
306,3.019190,
307,3.014466,
308,2.604849,
309,2.930188,
310,2.822997,
311,2.978613,
312,2.896067,
313,3.024087,
314,3.013159,
315,3.151293,
316,2.991432,
317,3.068984,
318,2.941687,
319,2.769362,
320,2.674253,
321,3.251238,
322,3.234425,
323,3.101289,
324,3.055706,
325,2.687814,2.943054
326,2.847703,
327,2.975898,
328,2.877505,
329,2.912478,
330,2.784497,
331,2.901574,
332,3.114173,
333,2.881489,
334,2.742243,
335,2.769728,
336,3.062477,
337,2.969353,
338,2.986663,
339,2.896097,
340,2.819018,
341,2.763895,
342,2.798067,
343,2.930498,
344,2.815259,
345,3.005422,
346,2.933133,
347,2.798094,
348,2.990327,
349,2.890135,
350,2.918512,2.936811
351,2.675304,
352,3.059356,
353,2.780024,
354,2.977576,
355,2.947831,
356,2.826825,
357,3.005273,
358,3.004848,
359,3.042001,
360,2.671442,
361,3.013600,
362,3.041573,
363,2.924402,
364,3.163747,
365,2.645938,
366,3.103150,
367,2.851594,
368,2.924953,
369,2.925390,
370,3.009807,
371,2.794320,
372,2.922761,
373,2.823290,
374,2.843627,
375,3.161425,2.946885
376,2.721768,
377,2.632229,
378,3.075827,
379,2.905731,
380,2.946154,
381,3.239388,
382,2.693220,
383,3.142499,
384,2.920598,
385,2.827641,
386,2.854970,
387,2.838740,
388,2.724957,
389,2.755178,
390,2.938520,
391,3.138854,
392,2.876302,
393,2.879860,
394,2.708178,
395,2.988437,
396,3.175841,
397,2.916621,
398,3.059703,
399,2.871197,2.922253
