step,loss,eval_loss
0,3.147734,3.015378
1,3.378157,
2,3.146204,
3,3.286001,
4,2.908372,
5,2.889340,
6,2.833162,
7,3.002043,
8,2.952920,
9,3.070456,
10,2.959897,
11,2.954734,
12,2.677368,
13,3.000342,
14,2.639651,
15,2.780079,
16,2.934146,
17,2.878882,
18,2.784045,
19,2.990044,
20,2.923322,
21,2.915182,
22,2.769259,
23,2.823039,
24,2.839057,
25,2.832201,2.808136
26,3.037899,
27,2.896140,
28,2.808600,
29,2.785955,
30,2.781337,
31,2.931719,
32,2.929235,
33,2.922528,
34,2.935072,
35,2.819996,
36,2.858791,
37,2.893256,
38,2.616172,
39,2.706934,
40,2.837341,
41,2.880492,
42,2.824262,
43,2.911038,
44,2.804893,
45,2.756055,
46,2.755272,
47,2.608066,
48,2.783113,
49,2.793045,
50,2.670407,2.767337
51,3.058742,
52,2.841520,
53,2.884981,
54,2.791337,
55,2.768174,
56,2.864523,
57,2.926361,
58,2.686971,
59,2.668436,
60,2.953123,
61,2.877608,
62,2.869108,
63,2.785608,
64,3.001086,
65,2.870586,
66,2.648766,
67,2.893265,
68,2.549692,
69,2.663059,
70,2.816412,
71,2.770639,
72,2.720083,
73,2.860903,
74,2.609590,
75,2.785510,2.770115
76,2.561091,
77,2.656848,
78,2.727876,
79,2.684248,
80,2.721626,
81,2.981996,
82,2.835689,
83,2.730494,
84,2.790781,
85,2.667793,
86,2.972577,
87,2.834128,
88,2.806853,
89,2.816463,
90,2.603580,
91,2.961711,
92,3.009425,
93,2.846047,
94,2.723138,
95,2.550286,
96,2.720399,
97,2.951481,
98,2.921964,
99,2.819067,
100,2.819543,2.784834
101,2.745885,
102,3.050716,
103,2.902832,
104,2.989580,
105,2.704216,
106,2.575867,
107,2.828330,
108,2.752405,
109,2.836637,
110,2.682575,
111,2.683862,
112,2.654535,
113,2.828820,
114,2.781196,
115,2.811181,
116,2.556778,
117,2.775641,
118,2.840712,
119,2.830827,
120,2.648405,
121,2.883508,
122,2.818072,
123,2.813045,
124,2.832019,
125,2.775740,2.783161
126,2.917624,
127,2.803810,
128,2.767971,
129,2.786719,
130,2.960704,
131,2.843160,
132,2.520406,
133,2.951798,
134,2.808441,
135,2.778200,
136,2.996186,
137,2.848603,
138,2.774499,
139,2.692264,
140,2.684234,
141,2.720878,
142,2.764893,
143,3.006726,
144,2.756506,
145,2.972404,
146,2.830152,
147,2.873815,
148,2.814526,
149,2.699713,
150,2.849387,2.830574
151,2.861986,
152,2.982173,
153,2.709083,
154,2.685345,
155,2.555733,
156,2.855956,
157,2.661696,
158,2.869519,
159,2.715235,
160,2.820418,
161,2.860732,
162,2.763859,
163,2.942740,
164,2.854774,
165,2.725437,
166,2.585210,
167,2.659231,
168,2.618363,
169,2.792799,
170,2.791666,
171,2.728068,
172,2.966913,
173,2.735509,
174,2.916485,
175,2.679193,2.779790
176,2.729452,
177,2.958101,
178,2.809458,
179,2.989805,
180,2.828730,
181,2.724041,
182,2.769636,
183,2.958525,
184,2.893471,
185,2.863646,
186,2.741013,
187,2.667826,
188,2.784873,
189,2.726987,
190,2.878866,
191,2.672501,
192,2.720846,
193,2.813287,
194,2.772531,
195,2.947962,
196,2.918768,
197,2.647603,
198,2.714283,
199,2.740538,
200,2.803671,2.789045
201,2.902101,
202,2.713418,
203,2.923366,
204,2.690763,
205,2.841459,
