step,loss,eval_loss
0,3.147734,3.017455
1,3.380319,
2,3.152390,
3,3.299149,
4,2.927099,
5,2.912050,
6,2.870711,
7,3.039235,
8,3.002665,
9,3.129579,
10,3.027903,
11,3.015138,
12,2.731230,
13,3.056519,
14,2.719824,
15,2.862618,
16,2.992899,
17,2.951068,
18,2.856086,
19,3.048625,
20,2.993859,
21,3.010820,
22,2.853159,
23,2.896476,
24,2.903142,
25,2.903246,2.877716
26,3.115709,
27,2.977271,
28,2.870586,
29,2.846662,
30,2.833623,
31,3.019613,
32,2.975585,
33,2.983344,
34,2.997956,
35,2.870247,
36,2.921124,
37,2.959628,
38,2.681522,
39,2.773133,
40,2.880820,
41,2.923384,
42,2.867862,
43,2.952103,
44,2.846527,
45,2.782927,
46,2.790115,
47,2.639533,
48,2.812168,
49,2.837167,
50,2.702542,2.787446
51,3.090980,
52,2.862451,
53,2.902210,
54,2.803160,
55,2.782417,
56,2.870571,
57,2.922975,
58,2.695873,
59,2.674599,
60,2.961230,
61,2.861325,
62,2.889544,
63,2.782836,
64,3.017739,
65,2.890222,
66,2.643029,
67,2.895716,
68,2.539681,
69,2.655530,
70,2.794960,
71,2.726889,
72,2.710681,
73,2.856504,
74,2.619111,
75,2.797899,2.759459
76,2.563942,
77,2.676800,
78,2.705137,
79,2.663091,
80,2.726573,
81,2.966540,
82,2.823852,
83,2.691892,
84,2.759262,
85,2.649613,
86,2.956150,
87,2.827454,
88,2.786877,
89,2.781047,
90,2.586008,
91,2.940988,
92,2.984491,
93,2.820798,
94,2.702321,
95,2.540236,
96,2.687841,
97,2.923291,
98,2.885767,
99,2.778901,
100,2.768689,2.743307
101,2.714719,
102,3.013433,
103,2.851775,
104,2.937407,
105,2.661196,
106,2.546574,
107,2.776624,
108,2.744709,
109,2.791222,
110,2.660709,
111,2.658578,
112,2.630429,
113,2.808602,
114,2.741251,
115,2.777014,
116,2.509445,
117,2.745005,
118,2.820038,
119,2.803646,
120,2.613164,
121,2.832565,
122,2.794454,
123,2.791084,
124,2.798565,
125,2.740641,2.731831
126,2.882464,
127,2.773501,
128,2.736203,
129,2.736681,
130,2.904557,
131,2.791254,
132,2.501494,
133,2.928863,
134,2.754819,
135,2.731621,
136,2.944775,
137,2.824460,
138,2.734488,
139,2.652562,
140,2.635510,
141,2.672734,
142,2.713607,
143,2.960493,
144,2.732669,
145,2.916176,
146,2.756649,
147,2.814658,
148,2.779265,
149,2.658520,
150,2.813816,2.724752
151,2.807223,
152,2.754873,
153,2.675401,
154,2.644909,
155,2.513377,
156,2.816855,
157,2.624009,
158,2.813109,
159,2.651900,
160,2.771297,
161,2.825878,
162,2.716158,
163,2.887572,
164,2.803036,
165,2.669508,
166,2.522903,
167,2.620605,
168,2.595229,
169,2.768325,
170,2.752348,
171,2.675902,
172,2.896325,
173,2.686459,
174,2.867362,
175,2.639054,2.717038
176,2.702482,
177,2.900191,
178,2.767926,
179,2.941326,
180,2.769142,
181,2.675876,
182,2.736477,
183,2.896854,
184,2.825917,
185,2.796589,
186,2.695870,
187,2.631696,
188,2.739388,
189,2.677494,
190,2.812295,
191,2.613547,
192,2.676111,
193,2.793112,
194,2.692996,
195,2.882104,
196,2.869661,
197,2.617108,
198,2.638836,
199,2.701618,
200,2.767487,2.716556
201,2.853872,
202,2.670438,
203,2.862648,
204,2.666723,
205,2.810905,
206,2.802814,
207,2.778637,
208,2.521606,
209,2.460508,
210,2.783585,
211,2.595578,
212,2.906549,
213,2.767099,
214,2.768725,
215,2.513970,
216,2.835336,
217,3.025069,
218,2.638232,
219,2.791831,
220,2.784154,
221,2.594757,
222,2.965008,
223,2.735778,
224,2.688704,
225,3.003272,2.706789
226,2.722462,
227,2.730746,
228,2.874010,
229,2.791502,
230,2.800486,
231,2.615711,
232,2.505245,
233,2.742707,
234,2.872053,
235,2.659165,
236,2.879632,
237,2.697947,
238,2.667099,
239,2.613020,
240,2.664110,
241,2.718806,
242,2.671674,
243,2.749425,
244,2.880790,
245,2.766232,
246,2.702789,
247,2.551112,
248,2.792623,
249,2.675146,
250,2.609843,2.703496
251,2.891248,
252,2.564137,
253,2.549735,
254,2.685726,
255,2.664070,
256,2.638380,
257,2.591673,
258,2.676304,
259,2.501877,
260,2.695724,
261,2.630688,
262,2.834285,
263,2.678895,
264,2.853868,
265,2.488512,
266,2.596113,
267,2.757382,
268,2.485281,
269,2.648716,
270,2.747472,
271,2.713508,
272,2.734399,
273,2.926881,
274,2.842444,
275,2.798830,2.702772
276,2.759018,
277,2.575629,
278,2.650797,
279,2.890417,
280,2.739017,
281,2.711601,
282,2.626199,
283,2.597500,
284,2.733968,
285,2.738605,
286,2.720383,
287,2.851126,
288,2.860305,
289,2.819259,
290,2.701543,
291,2.465655,
292,2.524527,
