step,loss,eval_loss
0,3.147733,3.013932
1,3.376599,
2,3.142002,
3,3.277401,
4,2.897181,
5,2.877790,
6,2.812144,
7,2.987635,
8,2.936763,
9,3.048270,
10,2.938861,
11,2.937643,
12,2.659528,
13,2.982277,
14,2.616969,
15,2.759449,
16,2.917586,
17,2.856983,
18,2.766405,
19,2.981313,
20,2.911346,
21,2.895799,
22,2.755364,
23,2.808926,
24,2.832562,
25,2.818465,2.797785
26,3.028182,
27,2.884644,
28,2.803727,
29,2.774022,
30,2.772447,
31,2.919258,
32,2.926820,
33,2.916124,
34,2.932366,
35,2.819494,
36,2.857466,
37,2.886531,
38,2.610047,
39,2.703344,
40,2.832236,
41,2.875502,
42,2.826728,
43,2.904737,
44,2.796184,
45,2.752266,
46,2.746174,
47,2.604438,
48,2.778190,
49,2.794112,
50,2.663840,2.763141
51,3.054658,
52,2.838701,
53,2.885745,
54,2.789321,
55,2.759149,
56,2.867343,
57,2.933716,
58,2.683542,
59,2.670974,
60,2.957664,
61,2.873571,
62,2.870608,
63,2.784669,
64,2.998757,
65,2.875175,
66,2.649932,
67,2.893638,
68,2.547002,
69,2.660146,
70,2.804430,
71,2.770592,
72,2.713281,
73,2.863874,
74,2.602751,
75,2.779058,2.763647
76,2.567154,
77,2.657418,
78,2.724480,
79,2.682209,
80,2.722679,
81,2.975782,
82,2.833905,
83,2.724840,
84,2.789690,
85,2.661958,
86,2.968898,
87,2.824376,
88,2.792769,
89,2.813159,
90,2.604546,
91,2.955989,
92,3.006676,
93,2.837654,
94,2.714032,
95,2.539174,
96,2.713393,
97,2.946539,
98,2.923275,
99,2.808844,
100,2.799466,2.772434
101,2.743387,
102,3.028072,
103,2.888311,
104,2.982136,
105,2.698802,
106,2.558540,
107,2.807012,
108,2.752547,
109,2.823292,
110,2.685639,
111,2.693871,
112,2.665509,
113,2.824411,
114,2.760042,
115,2.799674,
116,2.551108,
117,2.777325,
118,2.839833,
119,2.829374,
120,2.653786,
121,2.881588,
122,2.809322,
123,2.822891,
124,2.817487,
