step,loss,eval_loss
0,3.147733,3.017011
1,3.379842,
2,3.151068,
3,3.296234,
4,2.922956,
5,2.907097,
6,2.861477,
7,3.029873,
8,2.989725,
9,3.114074,
10,3.011024,
11,2.998916,
12,2.717719,
13,3.042287,
14,2.697560,
15,2.840720,
16,2.976459,
17,2.930130,
18,2.836645,
19,3.033171,
20,2.974154,
21,2.986348,
22,2.828825,
23,2.873435,
24,2.884084,
25,2.885372,2.856926
26,3.092456,
27,2.952919,
28,2.848140,
29,2.823266,
30,2.815135,
31,2.995343,
32,2.965347,
33,2.966353,
34,2.975377,
35,2.851837,
36,2.904244,
37,2.940378,
38,2.664239,
39,2.750579,
40,2.862582,
41,2.907068,
42,2.852351,
43,2.941063,
44,2.826978,
45,2.770461,
46,2.773439,
47,2.632636,
48,2.796435,
49,2.819115,
50,2.689098,2.776479
51,3.080812,
52,2.853419,
53,2.892142,
54,2.786394,
55,2.769334,
56,2.857044,
57,2.917138,
58,2.686577,
59,2.663542,
60,2.952969,
61,2.852598,
62,2.878224,
63,2.778965,
64,3.009637,
65,2.883270,
66,2.634371,
67,2.894956,
68,2.531754,
69,2.649315,
70,2.786467,
71,2.722194,
72,2.705569,
73,2.850343,
74,2.607696,
75,2.793245,2.753774
76,2.556685,
77,2.670495,
78,2.701497,
79,2.656896,
80,2.715001,
81,2.963569,
82,2.817862,
83,2.687137,
84,2.753079,
85,2.643384,
86,2.952369,
87,2.825975,
88,2.783022,
89,2.776278,
90,2.585569,
91,2.936925,
92,2.982095,
93,2.813843,
94,2.698768,
95,2.532002,
96,2.685206,
97,2.920971,
98,2.881411,
99,2.773296,
100,2.769943,2.735763
101,2.707656,
102,3.004634,
103,2.851589,
104,2.935982,
105,2.654611,
106,2.544572,
107,2.774487,
108,2.741803,
109,2.789037,
110,2.657540,
111,2.654438,
112,2.623983,
113,2.807363,
114,2.739149,
115,2.772956,
116,2.504647,
117,2.741139,
118,2.817947,
119,2.801216,
120,2.610762,
121,2.832597,
122,2.791357,
123,2.786401,
124,2.794299,
125,2.739374,2.723424
126,2.877001,
127,2.772202,
128,2.731730,
129,2.732224,
130,2.901276,
131,2.786608,
132,2.497144,
133,2.924491,
134,2.752947,
135,2.730909,
136,2.944837,
137,2.818789,
138,2.732537,
139,2.646996,
140,2.629800,
141,2.667583,
142,2.709025,
143,2.955878,
144,2.728699,
145,2.912447,
146,2.750713,
147,2.810872,
148,2.775836,
149,2.656134,
150,2.811611,2.719834
151,2.804795,
152,2.749741,
153,2.671840,
154,2.644582,
155,2.507400,
156,2.810754,
157,2.618292,
158,2.810091,
159,2.651076,
160,2.769600,
161,2.825405,
162,2.715806,
163,2.878746,
164,2.799715,
165,2.666769,
166,2.523336,
167,2.615001,
168,2.592704,
169,2.765416,
170,2.748925,
171,2.674162,
172,2.892439,
173,2.682816,
174,2.867082,
175,2.635935,2.711904
176,2.701806,
177,2.897599,
178,2.764007,
179,2.937093,
180,2.767034,
181,2.670868,
182,2.731006,
183,2.894913,
184,2.826295,
185,2.797735,
186,2.690708,
187,2.627088,
188,2.738643,
189,2.674963,
190,2.808891,
191,2.611200,
192,2.672384,
193,2.787025,
194,2.692778,
195,2.881446,
196,2.865762,
197,2.617147,
198,2.636324,
199,2.701663,
200,2.761649,2.711094
201,2.852359,
202,2.667962,
203,2.860901,
204,2.663075,
205,2.807906,
206,2.799946,
207,2.777112,
208,2.519431,
209,2.458492,
210,2.779887,
211,2.593780,
212,2.901651,
213,2.763330,
214,2.766824,
215,2.512986,
216,2.835907,
217,3.020521,
218,2.636130,
219,2.790830,
220,2.785301,
221,2.594019,
222,2.962496,
223,2.733777,
224,2.687763,
225,3.003762,2.701052
226,2.717885,
227,2.727936,
228,2.871133,
229,2.788487,
230,2.800879,
231,2.614717,
232,2.503954,
233,2.738389,
234,2.870121,
235,2.658287,
236,2.878306,
237,2.698330,
238,2.666081,
239,2.610926,
240,2.663998,
241,2.715652,
242,2.672734,
243,2.747705,
244,2.878781,
245,2.760926,
246,2.700836,
247,2.548775,
248,2.789217,
249,2.670525,
250,2.607260,2.697355
251,2.890039,
252,2.560585,
253,2.548725,
254,2.682880,
255,2.659430,
256,2.635743,
257,2.588292,
258,2.676491,
259,2.495896,
260,2.693962,
261,2.629737,
262,2.829391,
263,2.676591,
264,2.853890,
265,2.486373,
266,2.596917,
267,2.755239,
268,2.482993,
269,2.645931,
270,2.743686,
271,2.709992,
272,2.732989,
273,2.922046,
274,2.840709,
275,2.797488,2.696679
276,2.753135,
277,2.570745,
278,2.646558,
279,2.883638,
280,2.734311,
281,2.707813,
282,2.625095,
283,2.595028,
284,2.733098,
285,2.738810,
286,2.719103,
287,2.845541,
288,2.859150,
289,2.819660,
290,2.698962,
291,2.461220,
292,2.524819,
293,2.782264,
294,2.817039,
295,2.770934,
296,2.817778,
297,2.599694,
298,2.704383,
299,2.868767,
300,2.888646,2.696437
301,2.686950,
302,2.733506,
303,2.606160,
304,2.840364,
305,2.824235,
306,2.824334,
307,2.815597,
308,2.450734,
309,2.714553,
310,2.641164,
311,2.795897,
312,2.699102,
313,2.816111,
314,2.833857,
315,2.942503,
316,2.767990,
317,2.853524,
318,2.731420,
319,2.581084,
320,2.508079,
321,3.051885,
322,3.031911,
323,2.871098,
324,2.872751,
325,2.526125,2.697217
326,2.670092,
327,2.781235,
328,2.712442,
329,2.741185,
330,2.580240,
331,2.734697,
332,2.881542,
333,2.733865,
334,2.574029,
335,2.601042,
336,2.867743,
337,2.800082,
338,2.783401,
339,2.698559,
340,2.624983,
341,2.589009,
342,2.586915,
343,2.709749,
344,2.609722,
345,2.784467,
346,2.736702,
347,2.601860,
348,2.755572,
349,2.714187,
350,2.720715,2.687424
351,2.485928,
352,2.850487,
353,2.603477,
354,2.788745,
355,2.750426,
356,2.641622,
357,2.808967,
358,2.810847,
359,2.842017,
360,2.522484,
361,2.839643,
362,2.858416,
363,2.726691,
364,2.956181,
365,2.500033,
366,2.938770,
367,2.674290,
368,2.721317,
369,2.711337,
370,2.824156,
371,2.596511,
372,2.744978,
373,2.645278,
374,2.665195,
375,2.944893,2.688988
376,2.527315,
377,2.440706,
378,2.837567,
379,2.681242,
380,2.748311,
381,3.050327,
382,2.481111,
383,2.943438,
384,2.708050,
385,2.675462,
386,2.699665,
387,2.663752,
388,2.545345,
389,2.572642,
390,2.735932,
391,2.900183,
392,2.716530,
393,2.693699,
394,2.551160,
395,2.761454,
396,2.968717,
397,2.724023,
398,2.851446,
399,2.649706,2.684214
