step,loss,eval_loss
0,3.147734,3.008996
1,3.371661,
2,3.126395,
3,3.251688,
4,2.869127,
5,2.852738,
6,2.779873,
7,2.970180,
8,2.911406,
9,3.022085,
10,2.892392,
11,2.916166,
12,2.635697,
13,2.975459,
14,2.592128,
15,2.753423,
16,2.943851,
17,2.861047,
18,2.764333,
19,2.999606,
20,2.908709,
21,2.910675,
22,2.766133,
23,2.825220,
24,2.854884,
25,2.840231,2.829146
26,3.055055,
27,2.927955,
28,2.808752,
29,2.808376,
30,2.826504,
31,2.975554,
32,2.991130,
33,2.959563,
34,2.987349,
35,2.888987,
36,2.932523,
37,2.954243,
38,2.670575,
39,2.768141,
40,2.898313,
41,2.934870,
42,2.900491,
43,2.967552,
44,2.913522,
45,2.849108,
46,2.843750,
47,2.698260,
48,2.852201,
49,2.920650,
50,2.756887,2.887205
51,3.168431,
52,2.922261,
53,3.001698,
54,2.923429,
55,2.867960,
56,2.971963,
57,3.034144,
58,2.808532,
59,2.776735,
60,3.075496,
61,3.026093,
62,2.977425,
63,2.907434,
64,3.101222,
65,2.987507,
66,2.785598,
67,3.048019,
68,2.686519,
69,2.785356,
70,2.932345,
71,2.896804,
72,2.854473,
73,3.044611,
74,2.741492,
75,2.917314,2.921708
76,2.695544,
77,2.795769,
78,2.850555,
79,2.793461,
80,2.861361,
81,3.113341,
82,2.964513,
83,2.888660,
84,2.931374,
85,2.794782,
86,3.100682,
87,2.938646,
88,2.933204,
89,2.927933,
90,2.714081,
91,3.093525,
92,3.149732,
93,2.942896,
94,2.844845,
95,2.690471,
96,2.866141,
97,3.080107,
98,3.043470,
99,2.931526,
100,2.928179,2.948343
101,2.882620,
102,3.188184,
103,3.027837,
104,3.114965,
105,2.840531,
106,2.701997,
107,2.940055,
108,2.887326,
109,2.987859,
110,2.813353,
111,2.822580,
112,2.768952,
113,2.960948,
114,2.881787,
115,2.927823,
116,2.664643,
117,2.912697,
118,2.992451,
119,2.959532,
120,2.790072,
121,3.067197,
122,2.966188,
123,2.941987,
124,2.936026,
125,2.945997,2.946006
126,3.054523,
127,2.945974,
128,2.882830,
129,2.905541,
130,3.081729,
131,2.966835,
132,2.628610,
133,3.103761,
134,2.948471,
135,2.933891,
136,3.137960,
137,2.992198,
138,2.868298,
139,2.798538,
140,2.808004,
141,2.873842,
142,2.904175,
143,3.156581,
144,2.889340,
145,3.117137,
146,2.944705,
147,2.945114,
148,2.928526,
149,2.823601,
150,2.980852,2.934001
151,2.996546,
152,2.904697,
153,2.829535,
154,2.796061,
155,2.661301,
156,2.979339,
157,2.783383,
158,2.987310,
159,2.833605,
160,2.951299,
161,3.008953,
162,2.905948,
163,3.092838,
164,2.978042,
165,2.845052,
166,2.681389,
167,2.802650,
168,2.737759,
169,2.922041,
170,2.938154,
171,2.852331,
172,3.115824,
173,2.863400,
174,3.015109,
175,2.787657,2.915469
176,2.878458,
177,3.070270,
178,2.915781,
179,3.127993,
180,2.972173,
181,2.844180,
182,2.882580,
183,3.122958,
184,3.040124,
185,3.016719,
186,2.889194,
187,2.786033,
188,2.933450,
189,2.864231,
190,2.999220,
191,2.781025,
192,2.821770,
193,2.948085,
194,2.922918,
195,3.074590,
196,3.078851,
197,2.787107,
198,2.838426,
199,2.863365,
200,2.914698,2.930797
201,3.012475,
202,2.852987,
203,3.061722,
204,2.794534,
205,2.974714,
206,3.018252,
207,3.006214,
208,2.705373,
209,2.618180,
210,2.995744,
211,2.777801,
212,3.073623,
213,2.961774,
214,2.985612,
215,2.729979,
216,3.016563,
217,3.231946,
218,2.792899,
219,2.978462,
220,2.976148,
221,2.784008,
222,3.172823,
223,2.943044,
224,2.858505,
225,3.223192,2.930922
226,2.911521,
227,2.946930,
228,3.084738,
229,2.983236,
230,2.995773,
231,2.789051,
232,2.651632,
233,2.913324,
234,3.108238,
