step,loss,eval_loss
0,3.147734,3.017367
1,3.380241,
2,3.151887,
3,3.298315,
4,2.926121,
5,2.910678,
6,2.868623,
7,3.036955,
8,3.000435,
9,3.126887,
10,3.023889,
11,3.012686,
12,2.731347,
13,3.054187,
14,2.720253,
15,2.865339,
16,2.994696,
17,2.954909,
18,2.858680,
19,3.057417,
20,3.004451,
21,3.018618,
22,2.861060,
23,2.900821,
24,2.909885,
25,2.909942,2.887481
26,3.125705,
27,2.984230,
28,2.883379,
29,2.858971,
30,2.846773,
31,3.031543,
32,2.988154,
33,2.995677,
34,3.016393,
35,2.889929,
36,2.940375,
37,2.975219,
38,2.704878,
39,2.798540,
40,2.900538,
41,2.952600,
42,2.885393,
43,2.980273,
44,2.870039,
45,2.804532,
46,2.815024,
47,2.658719,
48,2.831119,
49,2.859274,
50,2.727340,2.805832
51,3.113438,
52,2.887375,
53,2.931410,
54,2.824702,
55,2.808533,
56,2.892742,
57,2.944316,
58,2.720134,
59,2.704208,
60,2.989069,
61,2.879210,
62,2.910049,
63,2.804778,
64,3.049211,
65,2.917460,
66,2.663502,
67,2.919871,
68,2.564172,
69,2.685250,
70,2.823112,
71,2.744632,
72,2.724421,
73,2.882118,
74,2.640687,
75,2.828982,2.782472
76,2.593225,
77,2.718767,
78,2.734696,
79,2.690802,
80,2.758084,
81,2.996159,
82,2.852206,
83,2.714599,
84,2.779252,
85,2.669000,
86,2.980843,
87,2.848244,
88,2.813286,
89,2.800196,
90,2.606333,
91,2.962722,
92,2.998559,
93,2.847743,
94,2.737763,
95,2.564071,
96,2.715566,
97,2.948116,
98,2.904351,
99,2.800633,
100,2.793396,2.764570
101,2.741574,
102,3.039716,
103,2.872756,
104,2.953558,
105,2.673854,
106,2.570894,
107,2.792928,
108,2.779554,
109,2.811330,
110,2.684797,
111,2.681546,
112,2.657203,
113,2.841414,
114,2.766707,
115,2.804134,
116,2.529711,
117,2.758781,
118,2.845809,
119,2.831260,
120,2.648272,
121,2.851373,
122,2.830976,
123,2.810801,
124,2.827516,
125,2.767866,2.752056
126,2.896424,
127,2.802925,
128,2.762453,
129,2.762872,
130,2.925846,
131,2.811696,
132,2.531425,
133,2.961018,
134,2.773970,
135,2.758383,
136,2.965295,
137,2.854284,
138,2.763602,
139,2.680254,
140,2.659388,
141,2.695704,
142,2.741624,
143,2.985088,
144,2.766554,
145,2.936222,
146,2.786067,
147,2.839514,
148,2.807228,
149,2.687582,
150,2.839367,2.747180
151,2.831605,
152,2.783087,
153,2.707522,
154,2.681738,
155,2.528129,
156,2.847556,
157,2.661773,
158,2.839848,
159,2.680847,
160,2.800546,
161,2.856753,
162,2.744964,
163,2.900236,
164,2.835387,
165,2.692269,
166,2.542698,
167,2.645121,
168,2.619972,
169,2.799695,
170,2.789263,
171,2.700878,
172,2.915954,
173,2.715805,
174,2.896091,
175,2.669501,2.739535
176,2.737236,
177,2.929752,
178,2.795027,
179,2.975617,
180,2.792431,
181,2.708807,
182,2.765493,
183,2.936869,
184,2.848802,
185,2.816405,
186,2.721948,
187,2.658213,
188,2.764993,
189,2.709434,
190,2.840124,
191,2.645379,
192,2.707409,
193,2.822690,
194,2.725284,
195,2.918720,
196,2.894086,
197,2.656843,
198,2.660523,
199,2.737360,
200,2.788938,2.738055
201,2.884249,
202,2.698197,
203,2.885992,
204,2.701905,
205,2.844761,
206,2.832936,
207,2.808083,
208,2.551502,
209,2.497435,
210,2.813366,
211,2.617283,
212,2.933831,
213,2.797438,
214,2.796955,
215,2.539359,
216,2.865695,
217,3.049513,
218,2.665309,
219,2.820775,
220,2.820254,
221,2.613567,
222,2.992456,
223,2.757641,
224,2.719198,
225,3.028830,2.727253
226,2.750909,
227,2.761543,
228,2.895805,
229,2.819249,
230,2.829493,
231,2.653256,
232,2.540362,
233,2.774388,
234,2.884871,
235,2.683898,
236,2.907053,
237,2.732643,
238,2.690250,
239,2.647182,
240,2.695397,
241,2.744147,
242,2.699715,
243,2.781636,
244,2.902392,
245,2.793913,
246,2.738056,
247,2.589547,
248,2.817294,
249,2.710387,
250,2.658571,2.724733
251,2.915651,
252,2.581039,
253,2.582885,
254,2.698056,
255,2.690127,
256,2.675258,
257,2.627292,
258,2.699875,
259,2.538312,
260,2.742849,
261,2.678571,
262,2.863375,
263,2.715093,
264,2.880227,
265,2.518758,
266,2.636667,
267,2.779029,
268,2.519067,
269,2.690269,
270,2.764030,
271,2.739305,
272,2.754225,
273,2.959246,
274,2.877882,
275,2.828801,2.720825
276,2.773639,
277,2.616503,
278,2.691672,
279,2.905503,
280,2.760035,
281,2.731367,
282,2.656933,
283,2.620758,
284,2.762919,
285,2.780778,
286,2.754923,
287,2.875989,
288,2.891484,
289,2.843219,
290,2.724355,
291,2.514434,
292,2.567877,
293,2.805248,
294,2.845792,
295,2.797615,
296,2.842566,
297,2.629305,
298,2.740167,
299,2.891117,
300,2.913444,2.719130
301,2.720564,
302,2.754045,
303,2.635535,
304,2.881370,
305,2.837928,
306,2.841753,
307,2.843399,
308,2.496547,
309,2.743713,
310,2.660060,
311,2.835280,
312,2.725306,
313,2.842315,
314,2.870582,
315,2.969551,
316,2.797670,
317,2.878340,
318,2.770151,
319,2.619042,
320,2.554261,
321,3.076391,
322,3.071134,
323,2.893582,
324,2.906304,
325,2.555679,2.717130
326,2.716477,
327,2.811906,
328,2.745965,
329,2.777420,
330,2.629934,
331,2.781167,
332,2.906542,
333,2.778972,
334,2.596149,
335,2.646822,
336,2.898288,
337,2.828975,
338,2.819058,
339,2.728321,
340,2.673689,
341,2.630731,
342,2.611656,
343,2.745788,
344,2.646990,
345,2.809232,
346,2.766926,
347,2.630108,
348,2.779692,
349,2.742458,
350,2.757205,2.711698
351,2.523857,
352,2.879567,
353,2.631382,
354,2.822637,
355,2.796960,
356,2.682395,
357,2.845166,
358,2.841751,
359,2.857208,
360,2.566092,
361,2.875046,
362,2.890709,
363,2.753372,
364,2.995660,
365,2.532724,
366,2.975504,
367,2.711159,
368,2.755411,
369,2.752645,
370,2.861541,
371,2.645443,
372,2.784119,
373,2.684898,
374,2.696420,
375,2.971646,2.712836
376,2.560248,
377,2.474015,
378,2.876951,
379,2.720217,
380,2.781493,
381,3.091352,
382,2.516462,
383,2.979377,
384,2.743949,
385,2.725097,
386,2.749875,
387,2.698852,
388,2.581020,
389,2.605081,
390,2.757705,
391,2.927221,
392,2.758143,
393,2.724804,
394,2.594042,
395,2.784605,
396,2.993660,
397,2.757678,
398,2.882023,
399,2.678135,2.704567
