step,loss,eval_loss
0,3.147077,3.005581
1,3.181195,
2,2.883283,
3,2.856211,
4,3.125110,
5,2.916234,
6,3.065512,
7,2.960789,
8,3.094720,
9,2.864452,
10,2.874300,
11,2.823200,
12,2.827715,
13,2.770511,
14,2.760769,
15,2.768668,
16,2.937912,
17,2.920252,
18,3.090011,
19,2.722026,
20,2.948811,
21,2.972318,
22,2.979499,
23,2.784250,
24,2.852994,
25,2.651929,2.819515
26,3.021861,
27,2.819398,
28,2.700444,
29,2.924951,
30,2.888201,
31,2.861144,
32,3.034318,
33,3.095488,
34,2.703872,
35,2.907111,
36,2.630279,
37,2.894231,
38,2.661267,
39,2.972063,
40,2.835047,
41,2.947921,
42,2.814533,
43,2.756470,
44,2.606075,
45,2.764265,
46,3.192910,
47,2.631710,
48,2.684275,
49,3.077194,
50,3.062246,2.916835
51,2.909507,
52,2.831828,
53,2.921591,
54,2.873708,
55,2.988564,
56,3.100640,
57,3.048581,
58,3.069221,
59,3.150746,
60,3.092168,
61,2.930170,
62,3.210962,
63,3.009834,
64,2.921258,
65,3.043854,
66,3.181781,
67,2.903950,
68,3.086123,
69,3.125174,
70,3.162202,
71,3.152047,
72,2.901498,
73,2.975231,
74,3.029510,
75,3.197659,2.979267
76,3.072657,
77,3.051115,
78,3.010398,
79,2.956035,
80,3.192738,
81,3.228069,
82,2.894728,
83,3.111381,
84,2.863424,
85,2.957571,
86,3.154651,
87,2.961596,
88,3.192688,
89,3.298253,
90,3.027301,
91,2.957030,
92,3.023414,
93,2.910511,
94,3.074881,
95,3.130157,
96,3.133923,
97,3.122082,
98,3.207846,
99,3.118931,
100,3.260987,3.099476
101,2.941140,
102,3.144610,
103,2.971176,
104,3.245062,
105,2.724102,
106,3.409850,
107,3.034344,
108,3.155380,
109,2.819072,
110,2.924407,
111,3.200027,
112,2.932470,
113,3.088478,
114,3.213027,
115,3.127473,
116,2.952828,
117,2.947400,
118,2.931029,
119,3.354048,
120,2.986362,
121,2.924002,
122,2.930040,
123,3.235598,
124,2.999246,
125,3.470873,3.105847
126,3.141149,
127,3.012047,
128,3.081231,
129,3.114856,
130,3.063499,
131,3.102014,
132,3.085568,
133,3.180778,
134,2.920523,
135,2.931490,
136,3.109355,
137,3.076523,
138,3.011556,
139,3.216268,
140,3.169528,
141,2.889049,
142,2.938626,
143,3.026281,
144,2.912435,
145,2.972573,
146,3.112758,
147,2.939226,
148,3.094619,
149,2.894382,
150,3.266803,3.079780
151,3.371530,
152,3.113304,
153,2.901214,
154,3.127817,
155,3.006244,
156,3.227426,
157,2.972371,
158,3.323268,
159,2.953987,
160,2.884167,
161,3.071651,
162,3.036786,
163,2.788700,
164,3.113049,
165,3.066335,
166,2.995047,
167,2.960968,
168,3.123919,
169,3.073352,
170,3.155194,
171,3.001430,
172,3.227526,
173,2.865935,
174,2.961422,
175,2.831796,3.116055
176,3.233480,
177,2.912076,
178,3.159671,
179,3.088501,
180,3.129979,
