step,loss,eval_loss
0,3.075161,2.992160
1,2.981599,
2,3.122510,
3,2.847042,
4,2.899126,
5,2.884420,
6,2.937675,
7,2.890123,
8,2.887622,
9,3.302072,
10,3.113832,
11,3.194718,
12,3.106296,
13,2.817242,
14,3.243155,
15,3.095324,
16,3.047948,
17,3.072584,
18,3.042932,
19,2.802862,
20,3.069600,
21,3.097959,
22,3.032125,
23,2.882823,
24,2.920287,
25,2.890281,2.996260
26,2.941493,
27,3.106266,
28,2.840323,
29,2.965214,
30,2.997727,
31,2.769137,
32,3.037979,
33,2.917757,
34,3.245102,
35,2.819732,
36,3.154979,
37,3.316316,
38,3.299063,
39,3.041080,
40,3.150450,
41,3.060084,
42,3.021235,
43,3.171766,
44,3.374926,
45,2.944594,
46,3.108931,
47,3.468888,
48,3.291401,
49,3.337576,
50,3.203305,3.274167
51,3.198636,
52,3.291232,
53,3.337777,
54,3.264426,
55,3.291814,
56,3.135003,
57,3.264565,
58,3.399242,
59,3.358226,
60,3.068255,
61,3.284929,
62,3.296183,
63,3.417076,
64,3.386042,
65,3.627095,
66,3.259159,
67,3.110374,
68,3.369162,
69,3.385412,
70,3.295153,
71,3.236212,
72,3.239957,
73,3.242263,
74,3.092826,
75,3.022357,3.348356
76,3.326492,
77,3.311209,
78,3.809827,
79,5.294506,
80,5.943870,
81,4.915558,
82,4.674822,
83,4.106536,
84,3.969753,
85,3.949767,
86,3.979669,
87,3.546702,
88,3.650786,
89,3.582524,
90,3.494353,
91,3.624268,
92,3.545113,
93,3.423135,
94,3.262845,
95,3.515371,
96,3.598804,
97,3.371300,
98,3.534019,
99,3.453704,
100,3.411622,3.550303
101,3.467518,
102,3.672124,
103,3.726001,
104,3.542561,
105,3.428655,
106,3.665452,
107,3.151162,
108,3.160268,
109,3.540705,
110,3.626444,
111,3.300344,
112,3.608526,
113,3.501364,
114,3.509800,
115,3.446918,
116,3.159884,
117,3.227659,
118,3.456819,
119,3.423874,
120,3.555317,
121,3.541426,
122,3.389833,
123,3.570130,
124,3.336432,
125,3.596896,3.414076
126,3.364664,
127,3.188325,
128,3.306773,
129,3.611242,
130,3.127123,
131,3.419946,
132,3.366791,
133,3.348219,
134,3.150560,
135,3.518697,
136,3.465737,
137,3.413175,
138,3.459692,
139,3.450368,
140,3.475959,
141,3.607769,
142,3.411600,
143,3.354276,
144,3.324179,
145,3.571733,
146,3.205499,
147,3.330447,
148,3.546973,
149,3.562855,
150,3.531217,3.400269
151,3.365577,
152,3.488916,
153,3.408800,
154,3.592185,
155,3.453166,
156,3.427995,
157,3.539510,
158,3.278169,
159,3.483854,
160,3.274907,
161,3.559851,
162,3.846499,
163,3.528097,
164,3.601446,
165,3.396554,
166,3.343100,
167,2.954379,
168,3.317337,
169,3.673940,
170,3.345132,
171,3.152317,
172,3.313763,
173,3.481308,
174,3.543792,
175,3.367807,3.522421
176,3.453505,
177,3.539628,
178,3.398689,
179,3.304075,
180,3.159580,
181,3.579638,
182,3.427020,
183,3.554910,
184,3.356802,
185,3.424373,
186,3.389300,
187,3.420417,
188,3.496853,
189,3.264511,
190,3.462201,
191,3.500470,
192,3.528131,
193,3.307995,
194,3.507119,
195,3.346117,
196,3.404025,
197,3.412642,
198,3.279066,
199,3.317667,
200,3.576403,3.472438
201,3.265163,
202,3.485183,
203,3.663951,
204,3.367321,
205,3.530334,
206,3.651164,
207,3.616736,
208,3.388083,
209,3.204919,
210,3.263939,
211,3.249799,
212,3.461187,
213,3.602314,
214,3.591658,
215,3.595367,
216,3.122018,
217,3.509446,
218,2.948866,
219,3.480542,
220,3.443839,
221,3.448688,
222,3.503966,
223,3.714660,
224,3.378819,
225,3.376411,3.494279
226,3.489819,
227,3.476984,
228,3.483188,
229,3.413370,
230,3.254724,
231,3.465743,
232,3.385998,
233,3.504769,
234,3.314028,
235,3.396002,
236,3.179824,
237,3.240715,
238,3.309674,
239,2.999877,
240,3.475117,
241,3.598635,
242,3.517839,
243,3.131573,
244,3.436001,
245,3.474030,
246,3.306364,
247,3.472886,
248,3.457750,
249,3.380134,
250,3.387582,3.456742
251,3.287154,
252,3.254117,
253,3.549281,
254,3.292496,
255,3.320300,
256,3.311887,
257,2.849397,
258,3.368246,
259,3.934413,
260,3.389294,
261,3.327233,
262,3.422853,
263,3.375525,
264,3.428869,
265,3.308812,
266,3.482432,
267,3.402246,
268,3.366265,
269,3.453405,
270,3.443953,
271,3.315210,
272,3.451988,
273,3.738010,
274,3.333360,
275,3.423167,3.500551
276,3.429078,
277,3.344973,
278,3.392336,
279,3.213449,
280,3.170494,
281,3.422775,
282,3.337754,
283,3.191944,
284,3.572260,
285,3.513872,
286,3.469711,
287,3.501301,
288,3.363874,
289,3.332320,
290,3.219035,
291,3.179618,
292,3.377528,
293,3.397639,
294,3.644822,
295,3.457277,
296,3.325200,
297,3.245487,
298,3.278834,
299,3.360429,
300,3.452252,3.462677
301,3.532575,
302,3.215268,
303,3.459915,
304,3.366420,
305,3.284746,
306,3.291470,
307,3.501297,
308,3.295160,
309,3.398931,
310,3.212186,
311,3.272381,
312,3.099488,
313,3.420384,
314,3.434902,
315,3.191234,
316,3.196319,
317,3.154935,
318,3.238530,
319,3.188497,
320,3.311670,
321,3.231383,
322,3.488159,
323,3.693910,
324,3.071387,
325,3.310160,3.468349
326,3.376303,
327,2.867513,
328,3.136132,
329,3.581284,
330,3.005479,
331,3.107822,
332,3.465305,
333,3.612653,
334,3.174556,
335,3.158645,
336,3.209280,
337,3.260769,
338,3.390084,
339,3.391514,
340,3.435466,
341,3.273402,
342,3.334009,
343,3.248732,
344,3.321694,
345,3.367536,
346,3.315380,
347,3.232153,
348,3.421107,
349,3.110657,
350,3.204591,3.466694
351,3.494149,
352,3.643539,
353,3.293396,
354,3.432532,
355,3.360764,
356,3.277880,
357,3.563884,
358,3.585858,
359,3.404681,
360,3.380539,
361,3.341032,
362,3.660704,
363,3.127407,
364,3.167404,
365,3.254585,
366,3.560672,
367,3.397666,
368,3.274011,
369,3.395989,
370,3.400452,
371,3.084377,
372,3.338764,
373,3.551191,
374,3.598409,
375,3.485246,3.434215
376,3.102604,
377,3.306153,
378,3.070385,
379,3.396923,
380,3.245554,
381,3.298702,
382,3.354395,
383,3.353852,
384,3.221438,
385,3.268853,
386,3.395007,
387,3.345194,
388,3.201855,
389,3.446402,
390,3.167873,
391,2.947728,
392,3.555770,
393,2.976260,
394,3.400868,
395,3.196605,
396,3.441205,
397,3.075353,
398,3.162138,
399,3.551457,3.438306
